,CPU Usage,Memory Usage (GB),GPU Usage (GB)
420,13.2,8.2311,0.418
421,18.0,8.2262,0.418
422,13.3,8.2279,0.418
423,18.4,8.2275,0.418
424,13.1,8.2525,0.418
425,15.9,8.2582,0.418
426,15.2,8.222,0.418
427,13.1,8.2258,0.418
428,18.2,8.2481,0.418
429,13.3,8.2228,0.418
430,18.0,8.2454,0.418
431,13.2,8.2308,0.418
432,15.3,8.2289,0.418
433,16.1,8.2176,0.418
434,13.1,8.2097,0.418
435,18.3,8.222,0.418
436,13.0,8.2071,0.418
437,18.2,8.2496,0.418
438,13.1,8.2392,0.418
439,14.6,8.2402,0.418
440,16.7,8.2215,0.418
441,13.3,8.2287,0.418
442,18.2,8.2185,0.418
443,13.2,8.226,0.418
444,18.2,8.2385,0.418
445,13.2,8.2362,0.418
446,13.9,8.2309,0.418
447,17.8,8.2237,0.418
448,13.1,8.2229,0.418
449,18.4,8.2358,0.418
450,13.0,8.2245,0.418
451,17.6,8.2438,0.418
452,13.8,8.224,0.418
453,13.2,8.2248,0.418
454,18.2,8.2381,0.418
455,12.9,8.2077,0.418
456,18.2,8.2572,0.418
457,13.0,8.2354,0.418
458,16.7,8.2613,0.418
459,14.9,8.2134,0.418
460,13.1,8.2017,0.418
461,18.3,8.2209,0.418
462,13.1,8.2205,0.418
463,18.3,8.2507,0.418
464,13.2,8.2393,0.418
465,15.8,8.2592,0.418
466,15.9,8.2188,0.418
467,13.0,8.2191,0.418
468,18.3,8.2331,0.418
469,13.1,8.2308,0.418
470,18.4,8.2278,0.418
471,13.1,8.2387,0.418
472,14.5,8.2416,0.418
473,16.8,8.2453,0.418
474,13.2,8.2468,0.418
475,18.2,8.2375,0.418
476,13.0,8.25,0.418
477,18.6,8.2515,0.418
478,13.1,8.2409,0.418
479,13.2,8.2385,0.418
480,17.9,8.2234,0.418
481,13.0,8.2227,0.418
482,18.4,8.2128,0.418
483,13.2,8.2099,0.418
484,17.0,8.2398,0.418
485,14.2,8.2316,0.418
486,13.1,8.2272,0.418
487,18.1,8.2518,0.418
488,13.1,8.2405,0.418
489,18.4,8.2279,0.418
490,13.0,8.2396,0.418
491,16.1,8.2493,0.418
492,15.4,8.2124,0.418
493,13.0,8.226,0.418
494,18.1,8.2428,0.418
495,13.1,8.2391,0.418
496,17.9,8.2215,0.418
497,13.0,8.2213,0.418
498,15.2,8.2159,0.418
499,16.0,8.2211,0.418
500,13.1,8.2148,0.418
501,18.2,8.2507,0.418
502,13.0,8.2517,0.418
503,18.2,8.2275,0.418
504,13.1,8.23,0.418
505,14.7,8.2411,0.418
506,16.6,8.2351,0.418
507,13.2,8.2275,0.418
508,18.3,8.2166,0.418
509,13.1,8.2164,0.418
510,18.4,8.222,0.418
511,13.1,8.2375,0.418
